Code,Description,Work Type,Labor Hours,FRT
18304102,Hose - Reservoir to 4 Way Coolant Valve (Remove & Replace),Remove and Replace,0.9,0.9
18304801,Hose - Battery to 4 Way Coolant Valve (Remove & Install),Remove and Install,2.15,2.15
18304802,Hose - Battery to 4 Way Coolant Valve (Remove & Replace),Remove and Replace,2.58,2.58
18304901,Hose - Battery Coolant Pump 1 to 4-Way Coolant Valve (Remove & Install),Remove and Install,0.7,0.7
18304902,Hose - Battery Coolant Pump 1 to 4-Way Coolant Valve (Remove & Replace),Remove and Replace,0.84,0.84
18305001,Coolant Rapid Mate - Vehicle Side (Remove & Install),Remove and Install,1.75,1.75
18305002,Coolant Rapid Mate - Vehicle Side (Remove & Replace),Remove and Replace,1.8,1.8
18305011,Coolant Rapid Mate - Vehicle Side (HV Battery Already Removed) (Remove & Install),Remove and Install,0.15,0.15
18305012,Coolant Rapid Mate - Vehicle Side (HV Battery Already Removed) (Remove & Replace),Remove and Replace,0.18,0.18
18305301,Hose - Charger Outlet (Remove & Install),Remove and Install,0.8,0.8
18305302,Hose - Charger Outlet (Remove & Replace),Remove and Replace,0.96,0.96
18305501,Hose - DCDC to Battery Coolant Heater (Remove & Install),Remove and Install,2.2,2.2
18305502,Hose - DCDC to Battery Coolant Heater (Remove & Replace),Remove and Replace,2.64,2.64
18305801,Hose - Inlet - Front Drive Unit (Remove & Install),Remove and Install,1.95,1.95
18305802,Hose - Inlet - Front Drive Unit (Remove & Replace),Remove and Replace,3.18,3.18
18306001,Hose - Rear Drive Unit To Cabin  (Remove & Install),Remove and Install,1.1,1.1
18306002,Hose - Rear Drive Unit To Cabin  (Remove & Replace),Remove and Replace,1.32,1.32
18306101,3 Way Coolant Valve - Radiator Bypass (Remove & Install),Remove and Install,0.9,0.9
18306102,3 Way Coolant Valve - Radiator Bypass (Remove & Replace),Remove and Replace,0.9,0.9
18306501,4 Way Coolant Valve - Series/Parallel (Remove & Install),Remove and Install,0.95,0.95
18306502,4 Way Coolant Valve - Series/Parallel (Remove & Replace),Remove and Replace,1.02,1.02
18307301,Coolant Heater - Electric - Battery (Remove & Install),Remove and Install,2.4,2.4
18307302,Coolant Heater - Electric - Battery (Remove & Replace),Remove and Replace,2.4,2.4
18307402,Coolant Heater (RHD) (Remove & Replace),Remove and Replace,2.64,2.64
18308101,Powertrain Coolant Pump 1 (Remove & Install),Remove and Install,0.95,0.95
18308102,Powertrain Coolant Pump 1 (Remove & Replace),Remove and Replace,1.14,1.14
18308201,Powertrain Coolant Pump 2 (Remove & Install),Remove and Install,0.85,0.85
18308202,Powertrain Coolant Pump 2 (Remove & Replace),Remove and Replace,1.02,1.02
18308501,Battery Coolant Pump 1 (1st Generation) (Remove & Install),Remove and Install,0.8,0.8
18308502,Battery Coolant Pump 1 (1st Generation) (Remove & Replace),Remove and Replace,0.96,0.96
18308602,Battery Coolant Pump 2 (Remove & Replace),Remove and Replace,2.58,2.58
18308701,Battery Coolant Pump 1 (2nd Generation) (Remove & Install),Remove and Install,0.7,0.7
18308702,Battery Coolant Pump 1 (2nd Generation) (Remove & Replace),Remove and Replace,0.84,0.84
18308901,Bracket - Battery Coolant Pump 1 (2nd Generation) (Remove & Install),Remove and Install,0.7,0.7
18308902,Bracket - Battery Coolant Pump 1 (2nd Generation) (Remove and Replace),Remove and Replace,0.84,0.84
18309001,Hose - Battery Coolant Pump 1 To Chiller (Remove & Install),Remove and Install,1.0,1.0
18309002,Hose - Battery Coolant Pump 1 To Chiller (Remove & Replace),Remove and Replace,1.2,1.2
18309051,Hose - Battery Coolant Pump 1 to Chiller (2nd Generation) (Remove & Install),Remove and Install,0.7,0.7
18309052,Hose - Battery Coolant Pump 1 to Chiller (2nd Generation) (Remove and Replace),Remove and Replace,0.84,0.84
18309101,Hose - Battery Coolant Pump 2 To Chiller (Remove & Install),Remove and Install,2.05,2.05
18309102,Hose - Battery Coolant Pump 2 To Chiller (Remove & Replace),Remove and Replace,2.46,2.46
18309201,Hose - 4-Way Valve to Chiller (2nd Generation) (Remove & Install),Remove and Install,0.75,0.75
