Code,Description,Work Type,Labor Hours,FRT
11701002,Closeout Panel - Door - Front - LH (Remove & Replace),Remove and Replace,0.36,0.36
11701101,Closeout Panel - Door - Front - RH (Remove & Install),Remove and Install,0.36,0.36
11701102,Closeout Panel - Door - Front - RH (Remove & Replace),Remove and Replace,0.36,0.36
11701111,Seal - Glass Run - Front Door - LH (Remove & Install),Remove and Install,0.3,0.3
11701112,Seal - Glass Run - Front Door - LH (Remove & Replace),Remove and Replace,0.3,0.3
11701121,Seal - Glass Run - Front Door - RH (Remove & Install),Remove and Install,0.3,0.3
11701122,Seal - Glass Run - Front Door - RH (Remove & Replace),Remove and Replace,0.3,0.3
11701401,Closeout Panel - Door - Rear - LH (Remove & Install),Remove and Install,0.6,0.6
11701402,Closeout Panel - Door - Rear - LH (Remove & Replace),Remove and Replace,0.6,0.6
11701501,Closeout Panel - Door - Rear - RH (Remove & Install),Remove and Install,0.6,0.6
11701502,Closeout Panel - Door - Rear - RH (Remove & Replace),Remove and Replace,0.6,0.6
11701801,Seal - Hood (Remove & Install),Remove and Install,0.1,0.1
11701802,Seal - Hood (Remove & Replace),Remove and Replace,0.12,0.12
11702001,Seal - Trunk (Remove & Install),Remove and Install,0.18,0.18
11702002,Seal - Trunk (Remove & Replace),Remove and Replace,0.18,0.18
11702301,Seal - Check Strap - Front Door - LH (Remove & Install),Remove and Install,0.1,0.1
11702302,Seal - Check Strap - Front Door - LH (Remove and Replace) ,Remove and Replace,0.12,0.12
11702401,Seal - Check Strap - Front Door - RH (Remove & Install),Remove and Install,0.1,0.1
11702402,Seal - Check Strap - Front Door - RH (Remove and Replace),Remove and Replace,0.12,0.12
11702501,Seal - Outer Belt - Rear Door - RH (Remove and Install),Remove and Install,0.06,0.06
11702502,Seal - Outer Belt - Rear Door - RH (Remove and Replace),Remove and Replace,0.06,0.06
11703001,Seal - Outer Belt - Front Door - LH (Remove & Install),Remove and Install,0.06,0.06
11703002,Seal - Outer Belt - Front Door - LH (Remove & Replace),Remove and Replace,0.06,0.06
11703101,Seal - Outer Belt - Front Door - RH (Remove & Install),Remove and Install,0.06,0.06
11703102,Seal - Outer Belt - Front Door - RH (Remove & Replace),Remove and Replace,0.06,0.06
11703201,Seal - Inner Belt - Front Door - LH (Remove & Install),Remove and Install,0.15,0.15
11703202,Seal - Inner Belt - Front Door - LH (Remove & Replace),Remove and Replace,0.18,0.18
11703301,Seal - Inner Belt - Front Door - RH (Remove & Install),Remove and Install,0.15,0.15
11703302,Seal - Inner Belt - Front Door - RH (Remove & Replace),Remove and Replace,0.18,0.18
11704101,Seal - Inner Belt - Rear Door - LH (Remove & Install),Remove and Install,0.3,0.3
11704102,Seal - Inner Belt - Rear Door - LH (Remove & Replace),Remove and Replace,0.18,0.18
11704201,Seal - Inner Belt - Rear Door - RH (Remove & Install),Remove and Install,0.3,0.3
11704202,Seal - Inner Belt - Rear Door - RH (Remove and Replace),Remove and Replace,0.18,0.18
11704401,Seal - Outer Belt - Rear Door - LH (Remove & Install),Remove and Install,0.06,0.06
11704402,Seal - Outer Belt - Rear Door - LH (Remove & Replace),Remove and Replace,0.06,0.06
11704501,Seal - Outer Belt - Rear Door- RH (Remove & Install),Remove and Install,0.06,0.06
11704502,Seal - Outer Belt - Rear Door- RH (Remove & Replace),Remove and Replace,0.06,0.06
11705001,Seal - Secondary - Front Door - LH (Remove & Install),Remove and Install,0.4,0.4
11705002,Seal - Secondary - Front Door - LH (Remove & Replace),Remove and Replace,0.48,0.48
11705101,Seal - Secondary - Front Door - RH (Remove & Install),Remove and Install,0.4,0.4
11705102,Seal - Secondary - Front Door - RH (Remove & Replace),Remove and Replace,0.48,0.48
11705401,Seal - Secondary - Rear Door - LH (Remove & Install),Remove and Install,0.35,0.35
11705402,Seal - Secondary - Rear Door - LH (Remove & Replace),Remove and Replace,0.42,0.42
11705501,Seal - Secondary - Rear Door - RH (Remove & Install),Remove and Install,0.35,0.35
11705502,Seal - Secondary - Rear Door - RH (Remove & Replace),Remove and Replace,0.42,0.42
12000004,Adjustment: Exterior Trim,Test/Adjust,0.2,0.2
12010101,Noise Absorber - Motor Bay - Front (Remove & Install),Remove and Install,2.76,2.76
12010102,Noise Absorber - Motor Bay - Front (Remove & Replace),Remove and Replace,2.76,2.76
12010201,Noise Absorber - Motor Bay - Rear (Remove & Install),Remove and Install,4.14,4.14
12010202,Noise Absorber - Motor Bay - Rear (Remove & Replace),Remove and Replace,3.72,3.72
12010901,Wheel Arch Liner - Front - LH (Remove & Install),Remove and Install,0.24,0.24
12010902,Wheel Arch Liner - Front - LH (Remove & Replace),Remove and Replace,0.24,0.24
12011001,Wheel Arch Liner - Front - RH (Remove & Install),Remove and Install,0.24,0.24
12011002,Wheel Arch Liner - Front - RH (Remove & Replace),Remove and Replace,0.24,0.24
12011101,Wheel Arch Liner - Rear - LH (Remove & Install),Remove and Install,0.24,0.24
12011102,Wheel Arch Liner - Rear - LH (Remove & Replace),Remove and Replace,0.24,0.24
12011201,Wheel Arch Liner - Rear - RH (Remove & Install),Remove and Install,0.24,0.24
12011202,Wheel Arch Liner - Rear - RH (Remove & Replace),Remove and Replace,0.24,0.24
12030101,Panel - Aero Shield - Front (Remove & Install),Remove and Install,0.18,0.18
12030102,Panel - Aero Shield - Front (Remove & Replace),Remove and Replace,0.18,0.18
12030501,Panel - Aero Shield - Rear (Remove & Install),Remove and Install,0.18,0.18
12030502,Panel - Aero Shield - Rear (Remove & Replace),Remove and Replace,0.18,0.18
12030801,Diffuser - Rear Fascia (Remove & Install),Remove and Install,0.24,0.24
12030802,Diffuser - Rear Fascia (Remove & Replace),Remove and Replace,0.24,0.24
12036001,Cover - Trailer Hitch (Remove & Install),Remove and Install,0.05,0.05
12036002,Cover - Trailer Hitch (Remove & Replace),Remove and Replace,0.06,0.06
12050501,Tesla Badge - Front (Remove & Install),Remove and Install,0.2,0.2
12050502,Tesla Badge - Front (Remove & Replace),Remove and Replace,0.24,0.24
12050601,Vehicle Configuration Badge (Remove & Install),Remove and Install,0.1,0.1
12050602,Vehicle Configuration Badge (Remove & Replace),Remove and Replace,0.12,0.12
12050606,Vehicle Configuration Badge (Retrofit),Retrofit,0.12,0.12
12050607,Vehicle Configuration Badge (Remove),Modify,0.06,0.06
12050701,Tesla Badge - Rear (Remove & Install),Remove and Install,0.2,0.2
12050702,Tesla Badge - Rear (Remove & Replace),Remove and Replace,0.24,0.24
12051101,Sill Plate ‐ Front ‐ LH (Remove & Install),Remove and Install,0.12,0.12
12051102,Sill Plate ‐ Front ‐ LH (Remove & Replace),Remove and Replace,0.12,0.12
12051201,Sill Plate ‐ Front ‐ RH (Remove & Install),Remove and Install,0.1,0.1
12051202,Sill Plate ‐ Front ‐ RH (Remove & Replace),Remove and Replace,0.12,0.12
