id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
37920,10011118,Front Door RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,1.52,1.52,
37921,10011119,Front Door RH Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.57,0.57,
37922,10011120,Front Door RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.55,0.55,
37925,10011123,Front Door RH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.76,3.76,
37825,10011124,Front Door RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,1.07,1.07,
37926,10011125,Front Door RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.43,0.43,
37927,10011126,Front Door RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.42,0.42,
37928,10011127,Front Door RH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.78,0.78,
37929,10011128,Front Door RH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.54,0.54,
37930,10011129,Rear Door LH Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,3.64,3.64,
37931,10011130,Rear Door LH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,1.34,1.34,
37932,10011131,Rear Door LH Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.6,0.6,
37933,10011132,Rear Door LH Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.57,0.57,
37934,10011133,Rear Door LH Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.67,0.67,
37935,10011134,Rear Door LH Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.46,0.46,
37936,10011135,Rear Door LH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,4.07,4.07,
37937,10011136,Rear Door LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,1.18,1.18,
37938,10011137,Rear Door LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.48,0.48,
37939,10011138,Rear Door LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.47,0.47,
37940,10011139,Rear Door LH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.84,0.84,
37941,10011140,Rear Door LH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.58,0.58,
37375,10011141,Rear Door RH Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,3.64,3.64,
