Code,Description,Work Type,Labor Hours,FRT
31151101,Spring and Damper Assembly - Front - RH (Remove & Install),Remove and Install,0.42,0.42
31151102,Spring and Damper Assembly - Front - RH (Remove & Replace),Remove and Replace,0.42,0.42
31152001,Spring and Damper Assembly - Rear - LH (Remove & Install),Remove and Install,0.95,0.95
31152002,Spring and Damper Assembly - Rear - LH (Remove & Replace),Remove and Replace,1.14,1.14
31152101,Spring and Damper Assembly - Rear - RH (Remove & Install),Remove and Install,0.95,0.95
31152102,Spring and Damper Assembly - Rear - RH (Remove & Replace),Remove and Replace,1.14,1.14
32010103,Steering Rack - Calibration,Program,0.2,0.2
32010201,Gaiter - Steering Rack - LH (Remove & Install),Remove and Install,3.65,3.65
32010202,Gaiter - Steering Rack - LH (Remove & Replace),Remove and Replace,4.38,4.38
32010301,Tie Rod End - LH (Remove & Install),Remove and Install,1.3,1.3
32010302,Tie Rod End - LH (Remove & Replace),Remove and Replace,1.56,1.56
32010601,Tie Rod End - RH (Remove & Install),Remove and Install,1.3,1.3
32010602,Tie Rod End - RH (Remove & Replace),Remove and Replace,1.56,1.56
32010701,Gaiter - Steering Rack - RH (Remove & Install),Remove and Install,3.65,3.65
32010702,Gaiter - Steering Rack - RH (Remove & Replace),Remove and Replace,4.38,4.38
32010801,Seal - Steering Rack (Remove & Install),Remove and Install,0.4,0.4
32010802,Seal - Steering Rack (Remove & Replace),Remove and Replace,0.48,0.48
32011001,Module - Steering Column Control (Remove & Install),Remove and Install,0.24,0.24
32011002,Module - Steering Column Control (Remove & Replace),Remove and Replace,0.24,0.24
32011201,Shaft - Steering Column - Intermediate Upper (Remove & Install),Remove and Install,0.6,0.6
32011202,Shaft - Steering Column - Intermediate Upper (Remove & Replace),Remove and Replace,0.72,0.72
32011301,Link - Shaft - Steering Column - Intermediate Lower (Remove & Install),Remove and Install,0.6,0.6
32011302,Link - Shaft - Steering Column - Intermediate Lower (Remove & Replace),Remove and Replace,0.72,0.72
32011401,Shaft - Steering Column - Intermediate Upper (Dual Motor) (Remove & Install),Remove and Install,0.75,0.75
32011402,Shaft - Steering Column - Intermediate Upper (Dual Motor) (Remove & Replace),Remove and Replace,0.9,0.9
32011601,Intermediate Shaft - Steering Column - Lower (Dual Motor) (1st Generation) (Remove & Install),Remove and Install,0.9,0.9
32011602,Intermediate Shaft - Steering Column - Lower (Dual Motor) (1st Generation) (Remove and Replace),Remove and Replace,0.9,0.9
32011651,Intermediate Shaft - Steering Column - Lower (Dual Motor) (2nd Generation) (Remove & Install),Remove and Install,0.65,0.65
32011652,Intermediate Shaft - Steering Column - Lower (Dual Motor) (2nd Generation) (Remove and Replace),Remove and Replace,0.78,0.78
32012001,Steering Rack (RWD) (with Air Suspension) (Remove & Install),Remove and Install,0.0,0.0
32012101,Steering Rack (RWD) (with Coil Suspension) (Remove & Install),Remove and Install,0.0,0.0
32012201,Steering Rack (Remove & Install),Remove and Install,5.1,5.1
32012202,Steering Gear (Remove & Replace),Remove and Replace,2.28,2.28
32012251,Steering Rack (LHD Dual Motor) (2nd Generation) (Remove & Install),Remove and Install,4.15,4.15
32012252,Steering Rack (LHD Dual Motor) (2nd Generation) (Remove & Replace),Remove and Replace,4.98,4.98
32013101,Steering Rack (LHD Dual Motor) (3rd Generation) (Remove & Install),Remove and Install,4.9,4.9
32013201,Tie Rod - Inner - LH (Remove & Install),Remove and Install,1.85,1.85
32013202,Tie Rod - Inner - LH (Remove & Replace),Remove and Replace,2.22,2.22
32013301,Tie Rod - Inner - RH (Remove & Install),Remove and Install,1.8,1.8
32013302,Tie Rod - Inner - RH (Remove & Replace),Remove and Replace,2.16,2.16
32013401,Tie Rod - Inner - Pair (Remove & Install),Remove and Install,2.15,2.15
32013402,Tie Rod - Inner - Pair (Remove and Replace),Remove and Replace,2.58,2.58
32014102,Steering Rack (RHD Dual Motor) (3rd Generation) (Remove & Replace),Remove and Replace,0.0,0.0
32015101,Steering Rack (Dual Motor RHD) (1st Generation) (Remove & Install),Remove and Install,4.2,4.2
32015102,Steering Rack (Dual Motor RHD) (1st Generation) (Remove & Replace),Remove and Replace,5.04,5.04
32016101,Steering Rack (Dual Motor RHD) (2nd Generation) (Remove & Install),Remove and Install,4.2,4.2
32016102,Steering Rack (Dual Motor RHD) (2nd Generation) (Remove & Replace),Remove and Replace,5.04,5.04
32017101,Bellows - Steering Rack - LH (Remove & Install),Remove and Install,1.25,1.25
32017102,Bellows - Steering Rack - LH (Remove & Replace),Remove and Replace,1.5,1.5
32017201,Bellows - Steering Rack - RH (Remove & Install),Remove and Install,1.15,1.15
32017202,Bellows - Steering Rack - RH (Remove & Replace),Remove and Replace,1.38,1.38
32050701,Clockspring - Steering Column (Remove & Install),Remove and Install,0.0,0.0
32051201,Shroud - Lower - Steering Column (Remove & Install),Remove and Install,0.4,0.4
