Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
NO,Model X,19,31030602,Hub - Rear - RH (Remove & Replace),Remove and Replace,0.84,0.84
NO,Model X,19,31030702,Hub - Rear - LH (Remove & Replace),Remove and Replace,0.84,0.84
NO,Model X,19,31033102,Stabilizer Bar - Rear (Remove & Replace),Remove and Replace,1.08,1.08
YES,Model X,19,31039000,Suspension - Rear - Check Torque,Test/Adjust,0.84,0.84
NO,Model X,19,31100102,Module - Air Suspension - ECU (Remove & Replace),Remove and Replace,1.5,1.5
NO,Model X,19,31100112,Module - Air Suspension - ECU (Tesla) (LHD) (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,31102002,Compressor - Air Suspension (Remove & Replace),Remove and Replace,1.32,1.32
NO,Model X,19,31102202,Valve Block - Air Suspension (Remove & Replace),Remove and Replace,1.56,1.56
NO,Model X,19,31102502,Reservoir - Air Suspension (Remove & Replace),Remove and Replace,0.78,0.78
NO,Model X,19,31103202,Fill Valve - Air Suspension,Remove and Replace,0.06,0.06
NO,Model X,19,31103206,Fill Valve - Air Suspension (Retrofit),Retrofit,0.3,0.3
NO,Model X,19,31106002,Active Damper - Rear - LH (Remove & Replace),Remove and Replace,1.26,1.26
NO,Model X,19,31106102,Active Damper - Rear - RH (Remove & Replace),Remove and Replace,1.2,1.2
NO,Model X,19,31108302,Superbeam (Remove & Replace),Remove and Replace,1.38,1.38
NO,Model X,19,32010302,Tie Rod End - LH (Remove & Replace),Remove and Replace,1.2,1.2
NO,Model X,19,32010402,Tie Rod End - RH (Remove & Replace),Remove and Replace,1.2,1.2
NO,Model X,19,33100102,ABS Modulator Assembly (Remove & Replace),Remove and Replace,4.68,4.68
NO,Model X,19,33100202,ECU - ABS (Remove & Replace),Remove and Replace,1.62,1.62
NO,Model X,19,33251012,Pedal Assembly (Remove & Replace),Remove and Replace,2.4,2.4
NO,Model X,19,34010100001,Cap - Wheel（2025+）,Remove and Install,0.0,0.0
YES,Model X,19,34010105,Tire Rotation,Maintenance,0.3,0.3
YES,Model X,19,34011302,Lug Nuts - Vehicle Set (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model X,19,34011402,Lug Nut Covers - Vehicle Set (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,34012402,Wheels - Axle Set (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model X,19,34012502,Wheel Sensor - TPMS - Rear - LH (Remove & Replace),Remove and Replace,0.3,0.3
