Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,35,10011106,Hood Assembly Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,0.42,0.42
Model 3,35,10011107,Hood Assembly Replacement And Paint - Sealer Spary-CN Only,Refinish,0.71,0.71
Model 3,35,10011109,Hood Assembly Replacement And Paint - Painting-CN Only,Paint Work,0.75,0.75
Model 3,35,10011110,Hood Assembly Replacement And Paint - Polishing-CN Only,Paint Work,0.53,0.53
Model 3,35,100111123,Putty filler (L)-CN Only,Refinish,1.44,1.44
Model 3,35,100111124,Steel Cosmetic (S)-CN Only,Repair,1.0,1.0
Model 3,35,100111125,Steel Cosmetic (M)-CN Only,Repair,1.5,1.5
Model 3,35,100111126,Steel Cosmetic (L)-CN Only,Repair,2.5,2.5
Model 3,35,100111127,Alumiunm Cosmetic (S)-CN Only,Repair,1.0,1.0
Model 3,35,100111128,Alumiunm Cosmetic (M)-CN Only,Repair,1.5,1.5
Model 3,35,100111129,Alumiunm Cosmetic (L)-CN Only,Repair,2.5,2.5
Model 3,35,10011113,Hood Assembly Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.48,0.48
Model 3,35,100111130,Alumiunm Cosmetic (XL)-CN Only,Repair,3.0,3.0
Model 3,35,100111131,Plastic cosmetic (S)-CN Only,Repair,0.5,0.5
Model 3,35,100111132,Plastic cosmetic (M)-CN Only,Repair,1.0,1.0
Model 3,35,100111133,Plastic cosmetic (L)-CN Only,Repair,1.5,1.5
Model 3,35,100111134,test ,Repair,0.5,0.5
Model 3,35,10011114,Hood Assembly Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.47,0.47
Model 3,35,10011115,Hood Assembly Removal Refit And Paint - Painting-CN Only,Paint Work,0.84,0.84
Model 3,35,10011116,Hood Assembly Removal Refit And Paint - Polishing-CN Only,Paint Work,0.52,0.52
Model 3,35,10011117,Front Door RH Replacement And Paint-CN Only,Paint Work,3.76,3.76
Model 3,35,10011118,Front Door RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.66,1.66
Model 3,35,10011119,Front Door RH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.56,0.56
